ID,Full Name,Name,Prefix,Suffix,Species,Sex,Birth Date,Sire ID,Dam ID,Genetic Code,Color,Eye Color,Owner CTU ID,Owned
CTC464,MM Clueless,Clueless,MM,,Fancy Mouse,Female,2024-10-20,CTC268,CTC269,,Pink Eye White,,CTU1,No
CTC501,Liana,Liana,,,Fancy Mouse,Female,2024-10-13,,,,Splashed,,CTU1,No
CTC449,MM Storm,Storm,MM,,Fancy Mouse,Female,2024-09-24,CTC268,CTC269,,Black,,CTU1,No
CTC448,MM Sterrin,Sterrin,MM,,Fancy Mouse,Female,2024-09-24,CTC268,CTC269,,Pink Eye White,,CTU1,No
CTC447,MM Okki,Okki,MM,,Fancy Mouse,Male,2024-09-24,CTC268,CTC269,,Splashed Banded,,CTU1,No
CTC446,MM Diva,Diva,MM,,Fancy Mouse,Female,2024-09-24,CTC268,CTC269,,Black,,CTU1,No
CTC450,MM Tippy,Tippy,MM,,Fancy Mouse,Female,2024-09-24,CTC268,CTC269,,Black,,CTU1,No
CTC270,MM Awesome Curls,Awesome Curls,MM,,Fancy Mouse,Female,2024-07-14,CTC31,CTC32,,Black,,CTU1,No
CTC185,MM Zodiac,Zodiac,MM,,Fancy Mouse,Male,2024-07-14,CTC189,CTC190,,Black,,CTU1,No
CTC29,MM Hodor,Hodor,MM,,Fancy Mouse,Male,2024-07-14,CTC31,CTC32,,Blue Sable,,CTU1,No
CTC445,MM Z11-F1,Z11-F1,MM,,Fancy Mouse,Female,2024-07-14,CTC189,CTC190,,Brindle,,CTU1,No
CTC444,MM Z11-F2,Z11-F2,MM,,Fancy Mouse,Female,2024-07-14,CTC189,CTC190,,Black Pied,,CTU1,No
CTC443,MM Zylan,Zylan,MM,,Fancy Mouse,Male,2024-07-14,CTC189,CTC190,,Black,,CTU1,No
CTC442,MM Zorino,Zorino,MM,,Fancy Mouse,Male,2024-07-14,CTC189,CTC190,,Brindle Pied,,CTU1,No
CTC441,MM Butt Fluff,Butt Fluff,MM,,Fancy Mouse,Female,2024-07-14,CTC311,CTC396,,Dominant Fawn,,CTU1,No
CTC440,MM Bronze Beauty,Bronze Beauty,MM,,Fancy Mouse,Female,2024-07-14,CTC311,CTC396,,Dominant Red,,CTU1,No
