ID,Full Name,Name,Prefix,Sex,Sire ID,Dam ID,Owner CTU ID,Owned
CTC263,MM Taragon,Taragon,MM,Female,CTC199,CTC200,CTU1,No
CTC190,MM Topnotch,Topnotch,MM,Female,CTC199,CTC200,CTU1,No
CTC262,MM Jumpstart,Jumpstart,MM,Female,CTC191,CTC192,CTU1,No
CTC189,MM Jackpot,Jackpot,MM,Male,CTC191,CTC192,CTU1,No
CTC387,MM Flogging Molly,Flogging Molly,MM,Female,CTC383,CTC386,CTU1,No
CTC230,MM Abundance,Abundance,MM,Female,CTC36,CTC229,CTU1,No
CTC293,MM Zipper,Zipper,MM,Female,CTC291,CTC292,CTU1,No
CTC191,MM Ventura,Ventura,MM,Male,CTC201,CTC202,CTU1,No
CTC200,MM Victoria's Secret,Victoria's Secret,MM,Female,CTC201,CTC202,CTU1,No
CTC35,MM Nugget,Nugget,MM,Female,CTC36,CTC37,CTU1,No
CTC193,MM Skeletor,Skeletor,MM,Male,CTC194,CTC195,CTU1,No
CTC36,MM Quantum,Quantum,MM,Male,CTC38,CTC39,CTU1,No
CTC268,MM Kingfish,Kingfish,MM,Male,CTC196,CTC39,CTU1,No
CTC195,MM Inola,Inola,MM,Female,CTC196,CTC39,CTU1,No
CTC166,MM Halibut,Halibut,MM,Male,,,CTU1,No
CTC201,MM Yeshua,Yeshua,MM,Male,CTC203,CTC204,CTU1,No
CTC228,MM Imperial Stout,Imperial Stout,MM,Male,CTC203,CTC204,CTU1,No
CTC229,MM Yours Truly,Yours Truly,MM,Female,CTC203,CTC204,CTU1,No
CTC167,MM Burrata,Burrata,MM,Female,,,CTU1,No
CTC162,MM Vitello Tonato,Vitello Tonato,MM,Male,CTC163,CTC164,CTU1,No
CTC382,MM Naomi,Naomi,MM,Female,CTC373,CTC381,CTU1,No
CTC289,MM Red Hot Firecracker,Red Hot Firecracker,MM,Male,CTC288,CTC287,CTU1,No
CTC769,MM Zense,Zense,MM,Male,,,CTU2,No
CTC380,MM Atlas,Atlas,MM,Male,CTC220,CTC221,CTU1,No
CTC204,MM Starlight Sterre,Starlight Sterre,MM,Female,CTC220,CTC221,CTU1,No
CTC165,MM Calamari,Calamari,MM,Female,CTC787,CTC788,CTU1,No
CTC381,MM Peyton,Peyton,MM,Female,,,CTU1,No
CTC384,MM Brindle Pied,Brindle Pied,MM,Female,CTC380,,CTU1,No
CTC203,MM Chocolate Chip Cookie,Chocolate Chip Cookie,MM,Male,CTC205,CTC206,CTU1,No
CTC788,MM Peen,Peen,MM,Female,CTC217,CTC372,CTU1,Yes
CTC379,MM Hogara,Hogara,MM,Male,CTC365,CTC378,CTU1,No
CTC247,MM Abeltje,Abeltje,MM,Male,CTC248,CTC249,CTU1,No
CTC377,MM Ryu,Ryu,MM,Male,CTC217,CTC376,CTU1,No
CTC206,MM Salt Junior,Salt Junior,MM,Female,CTC217,CTC219,CTU1,No
CTC375,MM Hayao,Hayao,MM,Male,CTC233,CTC2184,CTU1,No
CTC2185,MM Tomoe,Tomoe,MM,Female,CTC233,CTC374,CTU1,Yes
CTC2186,MM Sango,Sango,MM,Female,CTC233,CTC2184,CTU1,Yes
CTC238,MM Taiyo,Taiyo,MM,Male,,,CTU1,No
CTC2191,MM Chiharu,Chiharu,MM,Female,CTC233,CTC2180,CTU1,Yes
CTC2192,MM Himeka,Himeka,MM,Female,CTC233,CTC2180,CTU1,Yes
CTC2190,MM Komijn,Komijn,MM,Female,CTC233,CTC2180,CTU1,Yes
CTC2193,MM Eiko,Eiko,MM,Female,CTC233,CTC2180,CTU1,Yes
CTC221,MM Laluna,Laluna,MM,Female,CTC222,CTC225,CTU1,No
CTC2187,MM J5-M4,J5-M4,MM,Male,CTC233,CTC234,CTU1,Yes
CTC232,MM Chico,Chico,MM,Male,CTC233,CTC234,CTU1,No
CTC2188,MM J5-F4,J5-F4,MM,Female,CTC233,CTC234,CTU1,Yes
CTC220,MM Pador,Pador,MM,Male,CTC42,CTC41,CTU1,No
CTC373,MM Glennfiddich,Glennfiddich,MM,Male,CTC42,CTC372,CTU1,No
CTC239,MM Eevee,Eevee,MM,Female,CTC240,CTC241,CTU1,No
CTC40,MM Kinnori,Kinnori,MM,Male,CTC42,CTC41,CTU1,No
CTC2189,MM Ichiyo,Ichiyo,MM,Female,CTC233,CTC2183,CTU1,Yes
CTC369,MM Fuyuki,Fuyuki,MM,Male,CTC240,CTC368,CTU1,No
CTC367,MM Miuna,Miuna,MM,Female,CTC365,CTC366,CTU1,No
CTC364,MM Yuri,Yuri,MM,Female,CTC363,CTC253,CTU1,No
CTC175,MM Amako,Amako,MM,Female,CTC176,CTC177,CTU1,No
CTC2184,CM Silke,Silke,CM,Female,,,CTU2,Yes
CTC2173,MM Naya,Naya,MM,Female,CTC242,CTC784,CTU1,Yes
CTC2174,MM Moffel,Moffel,MM,Female,CTC242,CTC784,CTU1,Yes
CTC2175,MM Gaga,Gaga,MM,Female,CTC242,CTC784,CTU1,Yes
CTC783,MM Diego,Diego,MM,Male,CTC242,CTC784,CTU1,No
CTC250,MM Saydie,Saydie,MM,Female,CTC252,CTC251,CTU1,No
CTC368,MM Pip,Pip,MM,Female,CTC242,,CTU1,No
CTC2176,MM Pip,Pip,MM,Female,CTC242,,CTU1,Yes
CTC252,MM Peter,Peter,MM,Male,CTC233,CTC253,CTU1,No
CTC249,MM Hope,Hope,MM,Female,CTC226,CTC227,CTU1,No
CTC225,MM Hayley,Hayley,MM,Female,CTC226,CTC227,CTU1,No
CTC2164,MM W2-F3,W2-F3,MM,Female,CTC226,CTC227,CTU1,Yes
