ID,Full Name,Name,Prefix,Sex,Sire ID,Dam ID,Owner CTU ID,Owned
CTC1961,MM R12-F1,R12-F1,MM,Female,CTC14,CTC118,CTU2,No
CTC1959,MM R12-M2,R12-M2,MM,Male,CTC14,CTC118,CTU2,No
CTC1958,MM R12-M1,R12-M1,MM,Male,CTC14,CTC118,CTU2,No
CTC1960,MM R12-M3,R12-M3,MM,Male,CTC14,CTC118,CTU2,No
CTC1963,MM R12-F2,R12-F2,MM,Female,CTC14,CTC118,CTU2,No
CTC1964,MM R12-F3,R12-F3,MM,Female,CTC14,CTC118,CTU2,No
CTC1965,MM R12-F4,R12-F4,MM,Female,CTC14,CTC118,CTU2,No
CTC1966,MM R12-F5,R12-F5,MM,Female,CTC14,CTC118,CTU2,No
CTC1282,MM Pippa,Pippa,MM,Female,CTC23,CTC127,CTU2,No
CTC1281,MM P15-M1,P15-M1,MM,Male,CTC23,CTC127,CTU2,No
CTC1283,MM Poppy,Poppy,MM,Female,CTC23,CTC127,CTU2,No
CTC1280,MM Polaria,Polaria,MM,Female,CTC23,CTC127,CTU9,Yes
CTC1285,MM P15-M2,P15-M2,MM,Male,CTC23,CTC127,CTU2,No
CTC1284,MM P15-F3,P15-F3,MM,Female,CTC23,CTC127,CTU2,No
CTC1287,MM Q15-M2,Q15-M2,MM,Male,CTC353,CTC126,CTU2,No
CTC1286,MM Q15-M1,Q15-M1,MM,Male,CTC353,CTC126,CTU2,No
CTC1279,MM O15-F1,O15-F1,MM,Female,CTC11,CTC111,CTU2,No
CTC1278,MM O15-M1,O15-M1,MM,Male,CTC11,CTC111,CTU2,No
CTC1276,MM N15-M1,N15-M1,MM,Male,CTC25,CTC109,CTU2,No
CTC1277,MM N15-F1,N15-F1,MM,Female,CTC25,CTC109,CTU2,No
CTC1275,MM N15-F2,N15-F2,MM,Female,CTC25,CTC109,CTU2,No
CTC1273,MM M15-M1 Elise,M15-M1,MM,Male,CTC20,CTC123,CTU2,No
CTC1274,MM M15-M3,M15-M3,MM,Male,CTC20,CTC123,CTU2,No
CTC1272,MM M15-M2,M15-M2,MM,Male,CTC20,CTC123,CTU2,Yes
CTC1271,MM M15-F2,M15-F2,MM,Female,CTC20,CTC123,CTU2,No
CTC1265,MM L15-F1,L15-F1,MM,Female,CTC23,CTC124,CTU2,No
