ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC100,MLP Vivian,CTU2,No,Pawfriends Line
CTC101,MM Delcia,CTU1,No,New Merle Line
CTC102,MM Daevy,CTU2,No,New Merle Line
CTC1027,DM Kaia,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Quattro Line
CTC103,RM Doria,CTU2,No,
CTC104,MLP Wayla,CTU2,No,Pawfriends Line
CTC105,MLP Wyna,CTU2,No,Pawfriends Line
CTC1055,DA Whimsy,,Yes,
CTC1058,DM Raya,,Yes,
CTC1059,DM Shanti,,Yes,
CTC106,MLP Wende,CTU2,No,
CTC1062,DM Helga,,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Quattro Line
CTC1064,DM Fuzzby,,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Quattro Line
CTC1065,DM Kitty,,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Quattro Line
CTC107,MM Gabriella,CTU1,No,Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC108,MM Haidera,CTU1,No,Legacy Red Line; Polish Line
CTC109,MM Habiba Marion,CTU2,No,Legacy Red Line; Polish Line
CTC1096,DM Eva,,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 1; Legacy Merle Line 2; Banded Line; Gianni Line
CTC11,MM Rizzo,CTU2,Yes,Legacy Red Line; Polish Line
CTC110,MM Ivey,CTU2,No,Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1102,DM Perdita 2.0,,No,
CTC1103,SLM's Dumbo,,No,
CTC1106,H15-M4 Kassy,CTU2,No,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1107,H15-M5 Marion,CTU2,No,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1108,MM Holly,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1109,MM Hera,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC111,MM Jimena,CTU2,Yes,Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1110,MM Hikari,CTU9,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
