ID,Full Name,Owner CTU ID,Owned,Founder Lines
CTC1027,DM Kaia,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2; Quattro Line
CTC11,MM Rizzo,CTU2,Yes,Legacy Red Line; Polish Line
CTC1108,MM Holly,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC1109,MM Hera,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC111,MM Jimena,CTU2,Yes,Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1119,I15-M3,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC1120,I15-M2,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2; Broken Line
CTC114,MM Lexi,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC115,MM Lottie,CTU2,Yes,Legacy Red Line; Legacy Brindle Line; Legacy Merle Line 2
CTC118,MM Myrrh,CTU2,Yes,Legacy Red Line
CTC126,MM Atari,CTU2,Yes,
CTC127,MM Yeva,CTU2,Yes,
CTC1272,MM M15-M2,CTU2,Yes,Legacy Brindle Line; Quattro Line; Pawfriends Line; Daikon Line
CTC134,MM Dica,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line
CTC135,MM Deedee,CTU2,Yes,Legacy Red Line; Polish Line; Quattro Line
CTC139,MM Femme,CTU2,Yes,Quattro Line
CTC14,BF Sami,CTU2,Yes,
CTC141,MM Ginny,CTU2,Yes,Legacy Red Line; Polish Line; Legacy Brindle Line; Legacy Merle Line 2
CTC142,MM Jazlin,CTU2,Yes,Legacy Red Line; Polish Line
CTC144,MF Daifuku,CTU2,Yes,Quattro Line; Pawfriends Line; Daikon Line
CTC145,MM Keira,CTU2,Yes,
CTC146,MM Kadee,CTU2,Yes,
CTC147,MM Lainey,CTU2,Yes,
CTC150,MM Maddox,CTU2,Yes,Quattro Line
CTC151,MM Nayeli,CTU2,Yes,
CTC2156,SB Tutti,CTU2,Yes,
CTC2165,PvK Hardy,CTU2,Yes,
CTC2167,MGF Hairo,CTU2,Yes,
CTC2171,FR Xatu,CTU2,Yes,
CTC2177,AR Rebel,CTU2,Yes,
CTC2179,FR Remy,CTU2,Yes,
CTC2182,PvK Boo,CTU2,Yes,
CTC2184,CM Silke,CTU2,Yes,
CTC2194,FF Baron,CTU2,Yes,
CTC2195,PvK Mascha,CTU2,Yes,
CTC2196,PvK Gemma,CTU2,Yes,
CTC2197,PvK Finn,CTU2,Yes,
